[2021-09-14 10:37:39,941] - [root] - [INFO] - Start Worker 3 (Master.py:68)
[2021-09-14 10:37:39,942] - [root] - [INFO] - Fetching ProblemID ... (UVa_Crawler.py:26)
[2021-09-14 10:37:39,942] - [root] - [INFO] - #UserID: sa072686 #ProblemID: 1719 (TIOJ_Crawler.py:15)
[2021-09-14 10:37:39,942] - [root] - [INFO] - Start Worker 4 (Master.py:68)
[2021-09-14 10:37:39,945] - [root] - [INFO] - Start Worker 5 (Master.py:68)
[2021-09-14 10:37:39,945] - [root] - [INFO] - Start Worker 6 (Master.py:68)
[2021-09-14 10:37:39,945] - [root] - [INFO] - Start Worker 7 (Master.py:68)
[2021-09-14 10:37:39,946] - [root] - [INFO] - Start Worker 8 (Master.py:68)
[2021-09-14 10:37:39,946] - [root] - [INFO] - Start Worker 9 (Master.py:68)
[2021-09-14 10:37:40,042] - [root] - [INFO] - Successfully Get Submissions. (TIOJ_Crawler.py:25)
[2021-09-14 10:37:40,042] - [root] - [INFO] - Successfully Get Status. #TIOJ1719 #sa072686 #AC. (TIOJ_Crawler.py:43)
[2021-09-14 10:37:40,043] - [root] - [INFO] - Lock acquired by Worker 3. (Master.py:40)
[2021-09-14 10:37:40,043] - [root] - [INFO] - Set result. Username: arashi87, judge: tioj, problem: 1719, result: AC (Master.py:47)
[2021-09-14 10:37:40,043] - [root] - [INFO] - Lock released by Worker 3. (Master.py:50)
[2021-09-14 10:37:41,032] - [root] - [INFO] - Successfully Get ProblemNum 1586's  ProblemID: 4461. (UVa_Crawler.py:38)
[2021-09-14 10:37:41,032] - [root] - [INFO] - Fetching Submissions ... (UVa_Crawler.py:43)
[2021-09-14 10:37:41,051] - [root] - [INFO] - Successfully Get ProblemNum 1595's  ProblemID: 4470. (UVa_Crawler.py:38)
[2021-09-14 10:37:41,051] - [root] - [INFO] - Fetching Submissions ... (UVa_Crawler.py:43)
[2021-09-14 10:37:41,089] - [root] - [INFO] - Successfully Get ProblemNum 1585's  ProblemID: 4460. (UVa_Crawler.py:38)
[2021-09-14 10:37:41,090] - [root] - [INFO] - Fetching Submissions ... (UVa_Crawler.py:43)
[2021-09-14 10:37:42,118] - [root] - [INFO] - Successfully Get Submissions. (UVa_Crawler.py:49)
[2021-09-14 10:37:42,118] - [root] - [INFO] - Successfully Get Status. #UVa1586 #1002251 #AC. (UVa_Crawler.py:90)
[2021-09-14 10:37:42,119] - [root] - [INFO] - Lock acquired by Worker 2. (Master.py:40)
[2021-09-14 10:37:42,119] - [root] - [INFO] - Set result. Username: arashi87, judge: uva, problem: 1586, result: AC (Master.py:47)
[2021-09-14 10:37:42,119] - [root] - [INFO] - Lock released by Worker 2. (Master.py:50)
[2021-09-14 10:37:42,175] - [root] - [INFO] - Successfully Get Submissions. (UVa_Crawler.py:49)
[2021-09-14 10:37:42,176] - [root] - [INFO] - Successfully Get Status. #UVa1585 #1002251 #AC. (UVa_Crawler.py:90)
[2021-09-14 10:37:42,176] - [root] - [INFO] - Lock acquired by Worker 1. (Master.py:40)
[2021-09-14 10:37:42,176] - [root] - [INFO] - Set result. Username: arashi87, judge: uva, problem: 1585, result: AC (Master.py:47)
[2021-09-14 10:37:42,177] - [root] - [INFO] - Lock released by Worker 1. (Master.py:50)
[2021-09-14 10:37:42,222] - [root] - [INFO] - Successfully Get Submissions. (UVa_Crawler.py:49)
[2021-09-14 10:37:42,223] - [root] - [INFO] - Successfully Get Status. #UVa1595 #1002251 #NE. (UVa_Crawler.py:66)
[2021-09-14 10:37:42,223] - [root] - [INFO] - Lock acquired by Worker 0. (Master.py:40)
[2021-09-14 10:37:42,223] - [root] - [INFO] - Set result. Username: arashi87, judge: uva, problem: 1595, result: NE (Master.py:47)
[2021-09-14 10:37:42,223] - [root] - [INFO] - Lock released by Worker 0. (Master.py:50)
[2021-09-14 10:37:42,224] - [root] - [INFO] - Worker 0 Done. (Master.py:73)
[2021-09-14 10:37:42,224] - [root] - [INFO] - Worker 1 Done. (Master.py:73)
[2021-09-14 10:37:42,224] - [root] - [INFO] - Worker 2 Done. (Master.py:73)
[2021-09-14 10:37:42,224] - [root] - [INFO] - Worker 3 Done. (Master.py:73)
